Date,Product,Category,Region,Units_Sold,Unit_Price,Customer_Rating,Discount,Revenue
2026-01-29,Monitor,Accessories,South,3,540.09,4.2,0.21,1280.01
2026-01-30,Monitor,Mobile,West,16,594.6,4.1,0.14,8181.7
2026-01-31,Tablet,Mobile,South,29,186.27,4.7,0.19,4375.48
2026-02-01,Monitor,Computers,East,9,888.51,4.3,0.18,6557.2
2026-02-02,Monitor,Accessories,East,4,102.12,4.5,0.27,298.19
2026-02-03,Laptop,Accessories,East,1,725.12,3.2,0.01,717.87
2026-02-04,Tablet,Accessories,North,4,836.83,2.9,0.08,3079.53
2026-02-05,Headphones,Computers,North,1,,4.4,0.29,
2026-02-06,Tablet,Computers,South,14,906.71,4.5,0.27,9266.58
2026-02-07,Headphones,Mobile,South,21,94.23,5.0,0.14,1701.79
2026-02-08,Laptop,Computers,West,16,104.15,3.5,0.19,1349.78
2026-02-09,Phone,Accessories,West,20,1242.77,3.4,0.08,22866.97
2026-02-10,Monitor,Accessories,South,24,572.28,4.4,0.06,12910.64
2026-02-11,Laptop,Computers,North,8,234.24,3.4,0.14,1611.57
2026-02-12,Monitor,Accessories,East,7,807.25,,0.11,5029.17
2026-02-13,Phone,Accessories,South,3,1166.49,4.6,0.18,2869.57
2026-02-14,Phone,Computers,West,17,362.94,3.6,0.02,6046.58
2026-02-15,Laptop,Computers,North,1,953.19,4.4,0.29,676.76
2026-02-16,Phone,Accessories,South,16,173.75,4.4,0.3,1946.0
2026-02-17,Headphones,Accessories,South,12,124.94,2.8,0.21,1184.43
2026-02-18,Phone,Accessories,North,27,820.46,4.8,0.16,18608.03
2026-02-19,Monitor,Mobile,South,19,833.92,3.8,0.09,14418.48
2026-02-20,Monitor,Mobile,North,22,974.27,4.6,0.24,16289.79
2026-02-21,Monitor,Mobile,East,23,1102.83,3.3,0.21,20038.42
2026-02-22,Monitor,Computers,North,22,1464.99,4.7,0.05,30618.29
2026-02-23,Headphones,Mobile,North,14,798.64,3.5,0.27,8162.1
2026-02-24,Tablet,Computers,North,6,518.29,2.5,0.25,2332.3
2026-02-25,Laptop,Computers,South,6,1203.02,4.8,0.28,5197.05
2026-02-26,Monitor,Mobile,South,13,442.71,2.7,0.22,4489.08
2026-02-27,Phone,Mobile,North,19,686.51,3.3,0.18,10695.83
2026-02-28,Monitor,Mobile,South,22,163.76,4.9,0.13,3134.37
2026-03-01,Phone,Accessories,West,8,86.76,4.9,0.28,499.74
2026-03-02,Phone,Mobile,West,27,1445.84,3.9,0.26,100000.0
2026-03-03,Monitor,Accessories,South,27,1262.17,4.1,0.01,33737.8
2026-03-04,Headphones,Computers,South,2,1059.16,3.6,0.01,2097.14
2026-03-05,Phone,Accessories,North,21,642.98,3.2,0.11,12017.3
2026-03-06,Phone,Mobile,East,1,301.28,3.3,0.24,228.97
2026-03-07,Monitor,Computers,South,28,276.83,4.2,0.3,5425.87
2026-03-08,Phone,Computers,West,15,412.85,4.4,0.05,5883.11
2026-03-09,Phone,Computers,North,1,846.38,4.5,0.18,694.03
2026-03-10,Monitor,Accessories,South,5,1086.16,4.5,0.11,4833.41
2026-03-11,Monitor,Mobile,West,28,1007.29,2.7,0.29,20024.93
2026-03-12,Laptop,Computers,West,29,455.9,3.7,0.25,9915.82
2026-03-13,Headphones,Computers,East,16,1434.55,2.6,0.25,17214.6
2026-03-14,Headphones,Computers,North,19,1119.95,3.9,0.14,18299.98
2026-03-15,Phone,Accessories,North,4,853.81,3.6,0.12,3005.41
2026-03-16,Headphones,Accessories,East,3,937.0,4.7,0.08,2586.12
2026-03-17,Phone,Mobile,East,17,658.42,3.4,0.02,10969.28
2026-03-18,Laptop,Accessories,North,17,409.21,2.8,0.26,5147.86
2026-03-19,Monitor,Computers,North,12,566.16,,0.24,5163.38
2026-03-20,Monitor,Mobile,South,28,1148.88,4.4,0.3,22518.05
2026-03-21,Monitor,Computers,South,29,70.87,4.0,0.3,1438.66
2026-03-22,Headphones,Computers,East,14,218.31,2.8,0.17,2536.76
2026-03-23,Laptop,Accessories,South,21,116.7,2.7,0.23,1887.04
2026-03-24,Headphones,Mobile,West,6,109.06,4.3,0.28,471.14
2026-03-25,Headphones,Accessories,South,3,1290.42,2.7,0.25,2903.44
2026-03-26,Laptop,Accessories,South,28,1070.3,4.6,0.07,27870.61
2026-03-27,Laptop,Mobile,West,9,737.55,4.3,0.14,5708.64
2026-03-28,Laptop,Computers,East,5,191.86,2.7,0.04,920.93
2026-03-29,Laptop,Computers,West,24,762.84,2.7,0.29,12998.79
2026-03-30,Monitor,Mobile,South,29,736.53,5.0,0.18,17514.68
2026-03-31,Tablet,Computers,East,17,301.14,3.4,0.07,4761.02
2026-04-01,Tablet,Mobile,South,14,679.08,3.4,0.2,7605.7
2026-04-02,Laptop,Mobile,West,21,627.83,4.5,0.19,10679.39
2026-04-03,Tablet,Accessories,West,3,942.98,4.9,0.11,2517.76
2026-04-04,Tablet,Mobile,South,28,970.89,5.0,0.03,26369.37
2026-04-05,Laptop,Accessories,North,1,115.69,4.4,0.2,92.55
2026-04-06,Tablet,Computers,North,20,593.19,3.4,0.16,9965.59
2026-04-07,Headphones,Computers,West,29,957.5,2.7,0.23,21380.98
2026-04-08,Phone,Computers,West,21,779.55,4.4,0.16,13751.26
2026-04-09,Phone,Computers,North,23,1291.91,3.9,0.26,21988.31
2026-04-10,Laptop,Accessories,North,1,1005.11,3.6,0.17,834.24
